paragraph_id,paragraph_sequence,date_set_or_published,date_sent,issue_id,number_as_printed,post,first_city,first_city_id,first_is_location,second_city,second_city_id,second_is_location,lines_count,domestic_or_foreign,category_primary,category_secondary,notes
2006,38,1646-03-03,NA,53,53,NA,Abingdon,185,y,NA,NA,NA,11,Domestic,War & Conflict,NA,NA
2011,43,1646-03-04,NA,53,53,NA,Abingdon,185,y,NA,NA,NA,5,Domestic,War & Conflict,NA,NA
2174,23,1646-04-04,NA,58,58,NA,Abingdon,185,y,NA,NA,NA,12,Domestic,War & Conflict,NA,NA
2803,56,1646-07-14,NA,72,72,NA,Abingdon,185,y,NA,NA,NA,2,Domestic,Diplomacy/Politics;War & Conflict,NA,NA
6393,1,1648-06-29,1648-06-14,175,172,NA,Aboard the Lion near Kinsale,NA,NA,NA,NA,NA,26,Domestic,War & Conflict,NA,NA
4201,28,1647-03-27,1647-03-22,110,107,French Post,Abronville,582,y,NA,NA,NA,51,Foreign,War & Conflict,NA,NA
6022,14,1648-04-05,NA,163,160,NA,Africa - see notes,NA,NA,NA,NA,NA,185,Foreign,Diplomacy/Politics;Economics and Trade;Other (explained in notes);War & Conflict,NA,"Extended narrative/description of some African politics and customs, and description of Guinea worm disease?"
4418,18,1647-05-07,1647-04-26,116,113,French Post,Agde,346,y,NA,NA,NA,21,Foreign,War & Conflict,NA,NA
6111,26,1648-04-30,1648-04-16,166,163,NA,Agde,346,y,NA,NA,NA,30,Foreign,War & Conflict,NA,NA
3603,41,1646-12-21,1646-12-04,96,96,NA,Aix de Provence,397,y,Toulon,385,y,2,Foreign,War & Conflict,NA,NA
3604,42,1646-12-21,1646-12-04,96,96,NA,Aix de Provence,397,y,Marseilles,378,y,3,Foreign,Diplomacy/Politics,NA,NA
3605,43,1646-12-21,1646-12-04,96,96,NA,Aix de Provence,397,y,Livorno,485,y,3,Foreign,Other (explained in notes);Sensational News,NA,NA
4081,29,1647-03-06,1647-02-26,107,104,French Post,Aix de Provence,397,y,NA,NA,NA,4,Foreign,War & Conflict,NA,NA
4557,31,1647-05-28,1647-05-19,119,116,NA,Aix de Provence,397,y,NA,NA,NA,5,Foreign,Diplomacy/Politics;War & Conflict,NA,NA
6196,7,1648-05-20,NA,169,166,NA,Aix de Provence,397,y,NA,NA,NA,61,Foreign,Other (explained in notes);Sensational News,NA,"Narrative of duel, flippant news for MI"
7990,14,1649-06-14,1649-06-08,225,222,NA,Aix de Provence,397,y,NA,NA,NA,6,Foreign,Legal/Criminal;War & Conflict,NA,NA
8033,14,1649-06-21,1649-06-13,226,223,NA,Aix de Provence,397,y,NA,NA,NA,4,Foreign,War & Conflict,NA,NA
8068,12,1649-06-28,1649-06-22,227,224,NA,Aix de Provence,397,y,NA,NA,NA,34,Foreign,War & Conflict,NA,NA
8257,15,1649-08-10,1649-08-02,233,230,NA,Aix de Provence,397,y,Marseilles,378,y,5,Foreign,Other (explained in notes),NA,NA
8281,9,1649-08-17,1649-08-10,234,231,NA,Aix de Provence,397,y,NA,NA,NA,10,Foreign,Diplomacy/Politics;Other (explained in notes),NA,NA
8357,26,1649-09-02,1649-08-27,236,233,NA,Aix de Provence,397,y,NA,NA,NA,11,Foreign,Diplomacy/Politics;War & Conflict,NA,NA
8436,16,1649-09-21,1649-09-14,239,236,NA,Aix de Provence,397,y,Marseilles,378,y,8,Foreign,Other (explained in notes),NA,NA
13065,22,1649-06-26,1649-06-25,528,NA,NA,Aix de Provence,397,y,NA,NA,NA,19,Foreign,War & Conflict,NA,NA
13947,22,1649-08-03,1649-07-30,577,NA,NA,Aix de Provence,397,y,NA,NA,NA,7,Foreign,Diplomacy/Politics,NA,NA
14286,15,1649-08-15,1649-08-02,593,NA,NA,Aix de Provence,397,y,Marseilles,378,y,6,Foreign,Other,NA,NA
14796,26,1649-09-01,1649-08-29,616,NA,NA,Aix de Provence,397,y,NA,NA,NA,20,Foreign,War & Conflict,NA,NA
14920,14,1649-09-05,1649-08-27,622,NA,NA,Aix de Provence,397,y,NA,NA,NA,10,Foreign,Diplomacy/Politics,NA,NA
14965,9,1649-09-08,1649-08-27,624,NA,NA,Aix de Provence,397,y,NA,NA,NA,12,Foreign,War & Conflict,NA,NA
15450,12,1649-09-23,1649-09-14,648,NA,NA,Aix de Provence,397,y,Marseilles,378,y,9,Foreign,Natural distaster,NA,NA
15504,5,1649-09-27,1649-09-14,651,NA,NA,Aix de Provence,397,y,Marseilles,378,y,4,Foreign,Natural distaster,NA,NA
15563,10,1649-10-02,NA,654,NA,NA,Aix de Provence,397,y,NA,NA,NA,8,Foreign,Natural distaster,NA,NA
4263,NA,NA,1647-03-22,0,NA,NA,Alexandria,3,y,Scio,683,y,NA,NA,NA,NA,NA
9999993600,NA,1646-12-21,1646-11-26,0,NA,NA,Alicante,227,y,Canary Islands,NA,y,NA,NA,NA,NA,NA
98,5,1645-03-21,NA,4,4,NA,Alisbury,157,y,NA,NA,NA,11,Domestic,War & Conflict,NA,NA
338,33,1645-05-13,NA,11,11,NA,Alisbury,157,y,NA,NA,NA,5,Domestic,War & Conflict,NA,NA
2098,15,1646-03-20,NA,56,56,NA,Alisbury,157,y,NA,NA,NA,11,Domestic,War & Conflict,NA,NA
5726,35,1648-01-31,1648-01-29,153,150,NA,Alnwick,162,y,NA,NA,NA,29,Domestic,Diplomacy/Politics;Economics and Trade;Legal/Criminal;Other (explained in notes);Royal Courts,NA,Various stories from Scotland
6313,26,1648-06-10,1648-06-07,172,169,NA,Alnwick,162,y,NA,NA,NA,10,Domestic,War & Conflict,NA,NA
6760,28,1648-09-17,1648-09-14,186,183,NA,Alnwick,162,y,NA,NA,NA,35,Domestic,War & Conflict,NA,NA
6761,29,1648-09-17,1648-09-14,186,183,NA,Alnwick,162,y,NA,NA,NA,27,Domestic,War & Conflict,NA,"""by another hand"""
12039,6,1649-05-24,1649-05-24,465,NA,NA,Alnwick,162,y,Edinburgh,90,y,24,Foreign,War & Conflict,NA,Evidence of reading 'London Diurnalls'
4745,27,1647-07-03,1647-06-21,124,121,NA,Alsatia,NA,NA,NA,NA,NA,21,Foreign,War & Conflict,NA,NA
2389,25,NA,NA,63,63,French Post,Altare Mountserrat (?),NA,NA,NA,NA,NA,7,Foreign,War & Conflict,NA,NA
4496,20,1647-05-21,1647-05-22,118,115,French Post,Amiens,306,y,Armentieres,326,y,29,Foreign,Diplomacy/Politics;Royal Courts;War & Conflict,NA,NA
4561,35,1647-05-28,1647-05-30,119,116,NA,Amiens,306,y,Calais,297,y,18,Foreign,War & Conflict,NA,NA
4562,36,1647-05-28,1647-05-30,119,116,NA,Amiens,306,y,NA,NA,NA,11,Foreign,Diplomacy/Politics,NA,NA
4605,35,1647-06-06,1647-06-06,120,117,NA,Amiens,306,y,NA,NA,NA,45,Foreign,Diplomacy/Politics;Royal Courts;War & Conflict,NA,NA
4649,36,1647-06-12,1647-06-12,121,118,NA,Amiens,306,y,NA,NA,NA,10,Foreign,Diplomacy/Politics;War & Conflict,NA,NA
4708,15,1647-06-28,1647-06-24,123,120,NA,Amiens,306,y,NA,NA,NA,4,Foreign,War & Conflict,NA,NA
4739,21,1647-07-03,1647-07-03,124,121,NA,Amiens,306,y,NA,NA,NA,7,Foreign,Royal Courts;War & Conflict,NA,NA
4800,27,1647-07-17,1647-07-08,126,123,NA,Amiens,306,y,NA,NA,NA,10,Foreign,Religion;War & Conflict,NA,NA
7805,11,1649-05-10,1649-04-30,220,217,NA,Amiens,306,y,NA,NA,NA,11,Foreign,War & Conflict,NA,NA
8073,17,1649-06-28,1649-07-01,227,224,NA,Amiens,306,y,NA,NA,NA,7,Foreign,War & Conflict,NA,NA
8109,16,1649-07-05,1649-07-05,228,225,NA,Amiens,306,y,NA,NA,NA,12,Foreign,War & Conflict,NA,NA
12808,28,1649-06-22,1649-06-20,513,NA,NA,Amiens,306,y,NA,NA,NA,13,Foreign,War & Conflict,NA,NA
12923,15,1649-06-27,1649-06-20,520,NA,NA,Amiens,306,y,NA,NA,NA,16,Foreign,Royal Courts,NA,NA
13198,26,1649-07-06,1649-06-05,535,NA,NA,Amiens,306,y,NA,NA,NA,7,Foreign,War & Conflict,NA,NA
13272,14,1649-07-10,1649-07-05,540,NA,NA,Amiens,306,y,NA,NA,NA,11,Foreign,War & Conflict,NA,NA
1904,16,NA,NA,51,51,NA,Amsterdam,374,y,NA,NA,NA,14,Foreign,War & Conflict,NA,Details of atrocities by Portugese in Brazil
2292,27,1646-04-24,NA,61,61,French Post,Amsterdam,374,y,NA,NA,NA,2,Foreign,War & Conflict,NA,NA
3355,22,1646-11-07,1646-10-22,90,89,NA,Amsterdam,374,y,Venlo,392,y,10,Foreign,War & Conflict,NA,NA
3677,16,1647-01-04,NA,98,96,NA,Amsterdam,374,y,NA,NA,NA,3,Foreign,Diplomacy/Politics,NA,NA
3913,34,1647-02-05,1647-01-21,103,101,French Post,Amsterdam,374,y,NA,NA,NA,5,Foreign,War & Conflict,NA,NA
4155,20,1647-03-20,1647-03-11,109,106,French Post,Amsterdam,374,y,NA,NA,NA,6,Foreign,War & Conflict,NA,NA
4289,36,1647-04-09,1647-04-01,112,109,Dutch Post,Amsterdam,374,y,Brussels,360,y,7,Foreign,Diplomacy/Politics,NA,NA
4427,27,1647-05-07,1647-04-29,116,113,French Post,Amsterdam,374,y,West Indies,NA,NA,6,Foreign,Economics and Trade;War & Conflict,NA,NA
4502,26,1647-05-21,1647-04-27,118,115,Dutch Post,Amsterdam,374,y,Brazil,NA,NA,9,Foreign,War & Conflict,NA,NA
4603,33,1647-06-06,1647-05-27,120,117,NA,Amsterdam,374,y,NA,NA,NA,2,Foreign,War & Conflict,NA,NA
5042,33,1647-09-04,1647-08-26,132,129,NA,Amsterdam,374,y,NA,NA,NA,6,Foreign,Diplomacy/Politics;Economics and Trade;War & Conflict,NA,NA
5076,21,1647-09-10,1647-09-02,133,130,NA,Amsterdam,374,y,Mittelberg,482,y,11,Foreign,War & Conflict,NA,NA
5077,22,1647-09-10,1647-09-02,133,130,NA,Amsterdam,374,y,NA,NA,NA,2,Foreign,Economics and Trade,NA,NA
5150,39,1647-09-27,1647-09-16,135,132,NA,Amsterdam,374,y,NA,NA,NA,4,Foreign,War & Conflict,NA,NA
5151,40,1647-09-27,1647-09-16,135,132,NA,Amsterdam,374,y,NA,NA,NA,4,Foreign,War & Conflict,NA,NA
5206,17,1647-10-09,1647-09-23,137,134,NA,Amsterdam,374,y,NA,NA,NA,9,Foreign,War & Conflict,NA,NA
5374,17,1647-11-13,1647-11-04,142,139,NA,Amsterdam,374,y,NA,NA,NA,6,Foreign,Diplomacy/Politics,NA,NA
5668,18,1648-01-22,1648-01-14,152,149,NA,Amsterdam,374,y,NA,NA,NA,3,Foreign,Other (explained in notes),NA,NA
5706,15,1648-01-29,1648-01-20,153,150,NA,Amsterdam,374,y,NA,NA,NA,4,Foreign,Other (explained in notes),NA,NA
5707,16,1648-01-29,1648-01-20,153,150,NA,Amsterdam,374,y,NA,NA,NA,6,Foreign,War & Conflict,NA,NA
5708,17,1648-01-29,1648-01-20,153,150,NA,Amsterdam,374,y,NA,NA,NA,4,Foreign,Legal/Criminal,NA,NA
6071,17,1648-04-22,1648-04-13,165,162,NA,Amsterdam,374,y,"Recif, Brazil",8,y,10,Foreign,War & Conflict,NA,NA
6168,15,1648-05-13,1648-05-04,168,165,NA,Amsterdam,374,y,NA,NA,NA,4,Foreign,Diplomacy/Politics,NA,NA
6726,25,1648-09-09,1648-09-10,185,182,NA,Amsterdam,374,y,NA,NA,NA,14,Domestic;Foreign,War & Conflict,NA,NA
6740,8,1648-09-17,1648-09-13,186,183,NA,Amsterdam,374,y,NA,NA,NA,18,Foreign,Diplomacy/Politics,NA,NA
6850,22,1648-10-06,1648-09-27,189,186,NA,Amsterdam,374,y,NA,NA,NA,6,Foreign,Diplomacy/Politics,NA,NA
6851,23,1648-10-06,1648-09-27,189,186,NA,Amsterdam,374,y,Pernambuco,619,y,5,Foreign,War & Conflict,NA,NA
6875,9,1648-10-14,1648-10-12,190,187,NA,Amsterdam,374,y,NA,NA,NA,57,Domestic;Foreign,Diplomacy/Politics;Royal Courts,NA,New style dating. Amsterdam perspective on English news
7348,19,1649-01-26,1649-01-20,205,202,NA,Amsterdam,374,y,Paris,310,y,9,Foreign,Diplomacy/Politics;War & Conflict,NA,NA
7349,20,1649-01-26,1649-01-20,205,202,NA,Amsterdam,374,y,Madrid,81,y,11,Foreign,War & Conflict,NA,NA
7350,21,1649-01-26,1649-01-20,205,202,NA,Amsterdam,374,y,NA,NA,NA,11,Foreign,Other (explained in notes);Sensational News;War & Conflict,NA,Portent of star for 30 days signifying end of war. Promise of history of war starting following week.
7368,10,1649-02-03,1649-02-10,206,203,NA,Amsterdam,374,y,Madrid,81,y,1,Foreign,Legal/Criminal,NA,NA
7369,11,1649-02-03,1649-02-10,206,203,NA,Amsterdam,374,y,Turin,412,y,3,Foreign,Legal/Criminal,NA,NA
7370,12,1649-02-03,1649-02-10,206,203,NA,Amsterdam,374,y,Paris,310,y,3,Foreign,War & Conflict,NA,NA
7407,13,1649-02-10,1649-02-05,207,204,NA,Amsterdam,374,y,Paris,310,y,17,Foreign,Diplomacy/Politics;War & Conflict,NA,NA
7468,14,1649-02-24,1649-02-28,209,206,NA,Amsterdam,374,y,NA,NA,NA,24,Domestic;Foreign,Diplomacy/Politics;Ireland,NA,NA
7677,8,1649-04-14,1649-04-11,216,213,NA,Amsterdam,374,y,NA,NA,NA,34,Domestic;Foreign,Diplomacy/Politics,NA,NA
7678,9,1649-04-14,NA,216,213,NA,Amsterdam,374,y,NA,NA,NA,8,Foreign,War & Conflict,NA,NA
7679,10,1649-04-14,NA,216,213,NA,Amsterdam,374,y,NA,NA,NA,11,Domestic;Foreign,Diplomacy/Politics,NA,NA
7732,31,1649-04-23,1649-04-19,217,214,NA,Amsterdam,374,y,NA,NA,NA,6,Domestic;Foreign,Diplomacy/Politics,NA,NA
8035,16,1649-06-21,1649-06-16,226,223,NA,Amsterdam,374,y,NA,NA,NA,10,Foreign,War & Conflict,NA,NA
8070,14,1649-06-28,1649-06-23,227,224,NA,Amsterdam,374,y,Callis and Sivill# (Calais and Seville?),NA,NA,2,Foreign,Other (explained in notes),NA,"Confirmed by ""passangers from s. lucas"""
8223,13,1649-08-04,1649-07-30,232,229,NA,Amsterdam,374,y,NA,NA,NA,16,Foreign,Diplomacy/Politics;War & Conflict,NA,NA
8314,15,1649-08-24,1649-08-16,235,232,NA,Amsterdam,374,y,NA,NA,NA,16,Foreign,War & Conflict,NA,NA
8731,13,1649-01-10,1648-12-28,256,NA,NA,Amsterdam,374,y,NA,NA,NA,20,Foreign,War & Conflict,NA,NA
8782,5,1649-01-10,NA,259,NA,NA,Amsterdam,374,y,NA,NA,NA,36,Domestic,Religion,NA,NA
10953,21,1649-04-25,NA,390,NA,NA,Amsterdam,374,y,NA,NA,NA,7,Foreign,Royal Courts,NA,NA
12795,15,1649-06-22,NA,513,NA,NA,Amsterdam,374,y,NA,NA,NA,10,Foreign,War & Conflict,NA,NA
12931,23,1649-06-27,1649-06-16,520,NA,NA,Amsterdam,374,y,NA,NA,NA,10,Foreign,War & Conflict,NA,NA
12937,29,1649-06-28,NA,520,NA,NA,Amsterdam,374,y,Izmir,603,y,8,Foreign,War & Conflict,NA,NA
13693,15,1649-07-26,1649-07-27,564,NA,NA,Amsterdam,374,y,NA,NA,NA,3,Foreign,War & Conflict,NA,NA
13945,20,1649-08-03,1649-07-27,577,NA,NA,Amsterdam,374,y,NA,NA,NA,4,Foreign,Economics and Trade,NA,NA
14076,13,1649-08-08,1649-08-01,582,NA,NA,Amsterdam,374,y,NA,NA,NA,3,Foreign,War & Conflict,NA,NA
14152,20,1649-08-10,1649-08-09,586,NA,NA,Amsterdam,374,y,Luke,NA,NA,6,Foreign,War & Conflict,NA,NA
14564,30,1649-08-22,1649-08-22,606,NA,NA,Amsterdam,374,y,NA,NA,NA,19,Foreign,War & Conflict,NA,NA
14680,15,1649-08-29,1649-08-16,612,NA,NA,Amsterdam,374,y,NA,NA,NA,18,Foreign,War & Conflict,NA,NA
2775,28,1646-07-10,NA,72,72,French Post,Ancona,541,y,Calabria,NA,NA,12,Foreign,Other (explained in notes);Sensational News,NA,NA
2584,20,NA,NA,68,68,The Hague,Andernach,403,y,NA,NA,NA,4,Foreign,War & Conflict,NA,NA
293,25,1645-05-05,NA,10,10,NA,Andover,173,y,NA,NA,NA,19,Domestic,War & Conflict,NA,NA
305,37,1645-05-05,NA,10,10,NA,Andover,173,y,NA,NA,NA,12,Domestic,War & Conflict,NA,NA
11507,11,1649-05-15,1649-05-13,431,NA,NA,Andover,173,y,NA,NA,NA,13,Domestic,War & Conflict,NA,NA
11572,2,1649-05-14,1649-05-13,436,NA,NA,Andover,173,y,NA,NA,NA,13,Domestic,War & Conflict,NA,NA
11573,3,1649-05-14,NA,436,NA,NA,Andover,173,y,NA,NA,NA,38,Domestic,War & Conflict,NA,NA
11658,3,1649-05-15,1649-05-13,443,NA,NA,Andover,173,y,NA,NA,NA,15,Domestic,War & Conflict,NA,NA
688,38,1645-07-15,NA,20,20,NA,Anglesey,NA,NA,NA,NA,NA,4,Domestic,War & Conflict,NA,NA
9567,9,1649-02-27,NA,311,NA,NA,Anglesey,NA,NA,Dublin,48,y,18,Domestic,War & Conflict,NA,Ireland
9926,5,1649-03-14,NA,332,NA,NA,Anglesey,NA,NA,NA,NA,NA,14,Foreign,War & Conflict,NA,NA
10229,11,1649-04-02,NA,348,NA,NA,Anglesey,NA,NA,Dublin,48,y,6,Foreign,War & Conflict,NA,NA
10328,12,1649-04-02,NA,354,NA,NA,Anglesey,NA,NA,Dublin,48,y,6,Foreign,War & Conflict,NA,NA
13788,5,1649-07-28,NA,570,NA,NA,Anglesey,NA,NA,NA,NA,NA,4,Domestic,War & Conflict,NA,NA
4749,31,1647-07-03,NA,124,121,NA,Annah (?) Ireland,NA,NA,NA,NA,NA,16,Domestic,Ireland;War & Conflict,NA,NA
6978,19,1648-11-04,1648-10-25,193,190,NA,Annuyn(?),NA,NA,NA,NA,NA,14,Foreign,War & Conflict,NA,NA
961,27,NA,NA,27,27,NA,Antwerp,362,y,NA,NA,NA,7,Foreign,War & Conflict,NA,NA
1287,25,NA,NA,35,35,NA,Antwerp,362,y,NA,NA,NA,3,Foreign,Legal/Criminal;War & Conflict,NA,Highway robbers? Metaphor?
2164,13,NA,NA,58,58,NA,Antwerp,362,y,Ghent,352,y,7,Foreign,War & Conflict,NA,NA
2727,27,1646-07-03,NA,71,71,Dutch Post,Antwerp,362,y,East Indies,NA,NA,1,Foreign,Economics and Trade,NA,NA
2728,28,1646-07-03,NA,71,71,Dutch Post,Antwerp,362,y,NA,NA,NA,15,Foreign,Diplomacy/Politics,NA,Great example of how news travelled.
2858,44,1646-07-22,NA,73,73,NA,Antwerp,362,y,NA,NA,NA,4,Foreign,War & Conflict,NA,NA
3356,23,1646-11-07,1646-10-26,90,89,NA,Antwerp,362,y,Graves,NA,NA,5,Foreign,War & Conflict,NA,NA
4153,18,1647-03-20,1647-03-08,109,106,French Post,Antwerp,362,y,Brussels,360,y,8,Foreign,Diplomacy/Politics,NA,NA
4156,21,1647-03-20,1647-03-15,109,106,French Post,Antwerp,362,y,NA,NA,NA,6,Foreign,Diplomacy/Politics,NA,NA
4157,22,1647-03-20,1647-03-15,109,106,French Post,Antwerp,362,y,Spain,NA,NA,5,Foreign,Economics and Trade,NA,NA
4290,37,1647-04-09,1647-04-05,112,109,Dutch Post,Antwerp,362,y,NA,NA,NA,7,Foreign,Diplomacy/Politics,NA,NA
4319,19,1647-04-16,1647-04-12,113,110,French Post,Antwerp,362,y,Brussels,360,y,9,Foreign,Diplomacy/Politics;Entertainment;Royal Courts,NA,NA
4390,24,1647-05-01,1647-04-26,115,112,French Post,Antwerp,362,y,NA,NA,NA,2,Foreign,Diplomacy/Politics,NA,NA
4391,25,1647-05-01,1647-04-26,115,112,French Post,Antwerp,362,y,Brussels,360,y,2,Foreign,Diplomacy/Politics,NA,NA
4493,17,1647-05-21,1647-05-17,118,115,French Post,Antwerp,362,y,NA,NA,NA,10,Foreign,Diplomacy/Politics;War & Conflict,NA,NA
4499,23,1647-05-21,1647-05-22,118,115,Dutch Post,Antwerp,362,y,Ghent,352,y,3,Foreign,War & Conflict,NA,NA
4500,24,1647-05-21,1647-05-22,118,115,Dutch Post,Antwerp,362,y,Paris,310,y,4,Foreign,Royal Courts;War & Conflict,NA,NA
4559,33,1647-05-28,1647-05-24,119,116,NA,Antwerp,362,y,Guelders,595,y,7,Foreign,War & Conflict,NA,NA
4673,19,1647-06-19,NA,122,119,NA,Antwerp,362,y,NA,NA,NA,2,Foreign,War & Conflict,NA,NA
4685,31,1647-06-19,1647-06-14,122,119,NA,Antwerp,362,y,NA,NA,NA,10,Foreign,War & Conflict,NA,NA
4707,14,1647-06-28,1647-06-21,123,120,NA,Antwerp,362,y,NA,NA,NA,10,Foreign,War & Conflict,NA,NA
4746,28,1647-07-03,1647-06-28,124,121,NA,Antwerp,362,y,NA,NA,NA,7,Foreign,War & Conflict,NA,NA
4747,29,1647-07-03,1647-06-28,124,121,NA,Antwerp,362,y,The Hague,357,y,2,Foreign,Diplomacy/Politics,NA,NA
4803,30,1647-07-17,1647-07-23,126,123,NA,Antwerp,362,y,NA,NA,NA,8,Foreign,War & Conflict,NA,NA
4804,31,1647-07-17,1647-07-23,126,123,NA,Antwerp,362,y,NA,NA,NA,8,Foreign,War & Conflict,NA,NA
4871,27,1647-08-07,1647-07-26,128,125,French Post,Antwerp,362,y,NA,NA,NA,10,Foreign,Diplomacy/Politics;War & Conflict,NA,NA
4993,29,1647-08-27,1647-08-23,131,128,NA,Antwerp,362,y,Madrid,81,y,2,Foreign,Diplomacy/Politics,NA,Letter for continuation of war
5437,27,1647-11-29,1647-11-22,144,141,NA,Antwerp,362,y,Brussels,360,y,2,Foreign,Diplomacy/Politics,NA,NA
5438,28,1647-11-29,1647-11-22,144,141,NA,Antwerp,362,y,The Hague,357,y,4,Foreign,Diplomacy/Politics,NA,NA
5860,22,1648-03-04,1648-02-25,158,155,NA,Antwerp,362,y,Savoy,NA,NA,4,Foreign,Legal/Criminal,NA,NA
5988,17,1648-04-01,1648-03-27,162,159,NA,Antwerp,362,y,NA,NA,NA,19,Foreign,Diplomacy/Politics;War & Conflict,NA,NA
6350,33,1648-06-17,1648-06-10,173,170,NA,Antwerp,362,y,NA,NA,NA,8,Foreign,Diplomacy/Politics,NA,NA
6693,28,1648-09-02,1648-08-28,184,181,NA,Antwerp,362,y,NA,NA,NA,5,Foreign,Diplomacy/Politics,NA,NA
6724,23,1648-09-09,1648-09-04,185,182,NA,Antwerp,362,y,NA,NA,NA,7,Foreign,War & Conflict,NA,New style dating
7040,24,1648-11-18,1648-11-06,195,192,NA,Antwerp,362,y,NA,NA,NA,10,Foreign,Diplomacy/Politics,NA,NA
7047,31,1648-11-18,1648-11-06,195,192,NA,Antwerp,362,y,NA,NA,NA,4,Foreign,War & Conflict,NA,New style dating
7402,8,1649-02-10,1649-02-03,207,204,NA,Antwerp,362,y,Paris,310,y,19,Foreign,Diplomacy/Politics;War & Conflict,NA,NA
7411,17,1649-02-10,1649-02-05,207,204,NA,Antwerp,362,y,Paris,310,y,18,Foreign,War & Conflict,NA,NA
7596,19,1649-03-24,1649-03-03,213,210,NA,Antwerp,362,y,NA,NA,NA,12,Foreign,Diplomacy/Politics,NA,NA
7643,1,1649-04-04,1649-03-31,215,212,NA,Antwerp,362,y,NA,NA,NA,26,Domestic,Diplomacy/Politics;Royal Courts,NA,NA
7644,2,1649-04-04,1649-03-31,215,212,NA,Antwerp,362,y,NA,NA,NA,4,Foreign,War & Conflict,NA,NA
7645,3,1649-04-04,1649-03-31,215,212,NA,Antwerp,362,y,Delft,359,y,13,Foreign,Diplomacy/Politics,NA,NA
7710,9,1649-04-19,1649-04-16,217,214,NA,Antwerp,362,y,NA,NA,NA,10,Foreign,War & Conflict,NA,NA
7773,13,1649-05-04,1649-04-30,219,216,NA,Antwerp,362,y,NA,NA,NA,8,Foreign,War & Conflict,NA,NA
7816,22,1649-05-10,1649-05-07,220,217,NA,Antwerp,362,y,NA,NA,NA,17,Foreign,War & Conflict,NA,NA
7829,3,1649-05-17,1649-05-14,221,218,NA,Antwerp,362,y,NA,NA,NA,10,Foreign,War & Conflict,NA,NA
7878,14,1649-05-26,1649-05-24,222,219,NA,Antwerp,362,y,NA,NA,NA,5,Foreign,War & Conflict,NA,NA
7911,11,1649-05-31,1649-05-28,223,220,NA,Antwerp,362,y,NA,NA,NA,10,Foreign,Diplomacy/Politics;War & Conflict,NA,NA
8008,32,1649-06-16,1649-06-10,225,222,NA,Antwerp,362,y,NA,NA,NA,12,Foreign,War & Conflict,NA,NA
8071,15,1649-06-28,1649-06-25,227,224,NA,Antwerp,362,y,NA,NA,NA,10,Domestic;Foreign,Royal Courts;War & Conflict,NA,NA
8079,23,1649-06-28,1649-06-25,227,224,NA,Antwerp,362,y,NA,NA,NA,2,Foreign,War & Conflict,NA,NA
8080,24,1649-06-28,1649-06-25,227,224,NA,Antwerp,362,y,Cadiz,44,y,4,Foreign,War & Conflict,NA,NA
